0000000296,scans,0000000106,DataLength
"header",0000000026,"lines"
"Date",21/11/2025,"Time",11:12:08
"ID","HAL RC RGA 201 #16119","Version",4
"Scans",6
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Faraday","mass",44.00,44.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 2","RGA","Faraday","mass",32.00,32.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 3","RGA","Faraday","mass",40.00,40.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 4","RGA","Faraday","mass",28.00,28.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 5","RGA","Faraday","mass",2.00,2.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 6","RGA","Faraday","mass",26.00,26.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"curtail-clipping",0,"( 1 = on, 0 = off )"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",18.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",650,"V"
"resolution",0,"%"
"Data",6
"Time","ms","CO2","O2","Ar","CO/N2","H2","C2H2",
00:26:49,   1609707,  1.03930e-10,  2.86422e-10,  8.79778e-07,  4.59250e-10,  2.94549e-10,  1.51037e-11,
00:27:38,   1658985,  9.69540e-11,  2.90658e-10,  8.79456e-07,  4.59938e-10,  2.74726e-10,  8.81498e-13,
00:28:28,   1708263,  9.51051e-11,  2.90292e-10,  8.80208e-07,  4.57659e-10,  2.73404e-10, -7.05198e-12,
00:29:17,   1757541,  1.07231e-10,  2.95732e-10,  8.79563e-07,  4.72547e-10,  2.74049e-10, -3.40774e-12,
00:30:06,   1806818,  8.44841e-11,  2.94431e-10,  8.79241e-07,  4.47994e-10,  2.94205e-10,  1.13949e-12,
00:30:56,   1856097,  1.06543e-10,  2.85261e-10,  8.79133e-07,  4.56068e-10,  3.10072e-10,  5.54699e-12,
00:31:42,   1902124,  8.78381e-11,  2.92969e-10,  8.78488e-07,  4.51241e-10,  2.86734e-10, -3.49374e-12,
00:32:31,   1951402,  1.00523e-10,  2.75006e-10,  8.78488e-07,  4.75084e-10,  2.94506e-10, -1.98874e-12,
00:33:20,   2000680,  9.73303e-11,  2.78542e-10,  8.78166e-07,  4.54305e-10,  2.87712e-10,  2.12204e-11,
00:34:09,   2049957,  8.73328e-11,  2.84068e-10,  8.77951e-07,  4.45210e-10,  2.94581e-10, -1.36524e-12,
00:34:59,   2099235,  8.83863e-11,  2.76607e-10,  8.77951e-07,  4.50424e-10,  2.93162e-10, -6.53599e-12,
00:35:48,   2148513,  8.11623e-11,  2.82993e-10,  8.77843e-07,  4.41931e-10,  2.85627e-10,  9.97598e-12,
00:36:37,   2197791,  9.62231e-11,  2.81703e-10,  8.77843e-07,  4.46543e-10,  2.89228e-10,  6.19199e-12,
00:37:27,   2247068,  9.11491e-11,  2.65395e-10,  8.77736e-07,  4.50811e-10,  2.96162e-10,  2.30049e-12,
00:38:13,   2293096,  7.48413e-11,  2.65857e-10,  8.77198e-07,  4.48070e-10,  2.84455e-10, -2.90249e-13,
00:39:02,   2342373,  8.21621e-11,  2.70587e-10,  8.77736e-07,  4.48532e-10,  2.82993e-10,  7.82598e-12,
00:39:51,   2391652,  8.27641e-11,  2.69373e-10,  8.77951e-07,  4.56465e-10,  2.94184e-10, -6.22424e-12,
00:40:40,   2440929,  8.47206e-11,  2.75135e-10,  8.78166e-07,  4.43340e-10,  2.88819e-10,  4.77299e-12,
00:41:30,   2490207,  7.79158e-11,  2.56946e-10,  8.77843e-07,  4.40394e-10,  2.79650e-10,  2.33274e-12,
00:42:19,   2539485,  9.24068e-11,  2.64589e-10,  8.78166e-07,  4.56917e-10,  2.81176e-10, -2.90249e-12,
00:43:05,   2585512,  8.90206e-11,  2.70297e-10,  8.77521e-07,  4.44834e-10,  3.00268e-10, -2.39724e-12,
00:43:54,   2634790,  8.43658e-11,  2.47744e-10,  8.78058e-07,  4.44597e-10,  3.04235e-10,  1.36524e-12,
00:44:44,   2684068,  9.30303e-11,  2.52001e-10,  8.77521e-07,  4.25677e-10,  2.97118e-10,  2.20374e-12,
00:45:33,   2733346,  7.97111e-11,  2.71093e-10,  8.77413e-07,  4.33159e-10,  2.90550e-10,  5.70824e-12,
00:46:22,   2782623,  9.64488e-11,  2.59235e-10,  8.78273e-07,  4.44232e-10,  2.86863e-10,  6.13824e-12,
00:47:11,   2831902,  9.06761e-11,  2.58676e-10,  8.77628e-07,  4.43404e-10,  2.90539e-10, -1.16099e-11,
00:48:01,   2881179,  8.76016e-11,  2.63611e-10,  8.74188e-07,  4.63345e-10,  6.69315e-10, -7.27773e-12,
00:48:50,   2930457,  9.35141e-11,  2.58676e-10,  8.66878e-07,  5.19073e-10,  1.06305e-09, -4.62249e-13,
00:49:39,   2979735,  1.29472e-10,  2.60396e-10,  8.65373e-07,  5.30834e-10,  1.23345e-09,  1.13627e-11,
00:50:29,   3029013,  1.91059e-10,  2.71060e-10,  8.67201e-07,  5.55376e-10,  1.29904e-09,  2.36607e-11,
00:51:18,   3078290,  3.14985e-10,  2.67448e-10,  8.73651e-07,  6.48578e-10,  1.30388e-09,  7.34546e-11,
00:52:07,   3127568,  4.69645e-10,  2.69878e-10,  8.86013e-07,  7.93262e-10,  1.29302e-09,  1.29107e-10,
00:52:56,   3176846,  5.90098e-10,  2.95613e-10,  9.07728e-07,  9.97050e-10,  1.31188e-09,  2.31382e-10,
00:53:46,   3226124,  6.40032e-10,  3.03644e-10,  9.37183e-07,  1.23203e-09,  1.29166e-09,  3.12125e-10,
00:54:35,   3275402,  6.76539e-10,  3.15791e-10,  9.64488e-07,  1.51259e-09,  1.28737e-09,  3.95889e-10,
00:55:24,   3324680,  7.20227e-10,  3.33346e-10,  9.86203e-07,  1.82435e-09,  1.28376e-09,  4.77922e-10,
00:56:13,   3373957,  7.97509e-10,  3.24638e-10,  1.00042e-06,  2.12307e-09,  1.25856e-09,  5.54247e-10,
00:57:06,   3426799,  8.73812e-10,  3.34227e-10,  1.00848e-06,  2.35338e-09,  1.23290e-09,  6.04256e-10,
00:57:59,   3479121,  9.38602e-10,  3.23488e-10,  1.02393e-06,  2.50003e-09,  1.23471e-09,  6.41387e-10,
00:58:51,   3531443,  9.87977e-10,  3.24875e-10,  1.03468e-06,  2.59183e-09,  1.20061e-09,  6.66262e-10,
00:59:43,   3583765,  1.00926e-09,  3.00118e-10,  1.05955e-06,  2.65188e-09,  1.18012e-09,  6.96996e-10,
01:00:36,   3636087,  1.02938e-09,  3.08363e-10,  1.06358e-06,  2.69434e-09,  1.15434e-09,  7.09197e-10,
01:01:28,   3688409,  1.04469e-09,  3.10147e-10,  1.07566e-06,  2.67563e-09,  1.09133e-09,  6.79904e-10,
01:02:20,   3740731,  1.04121e-09,  2.97559e-10,  1.09045e-06,  2.66343e-09,  1.08002e-09,  6.58629e-10,
01:03:13,   3793053,  9.91481e-10,  2.95119e-10,  1.08709e-06,  2.62511e-09,  1.06151e-09,  6.40494e-10,
01:04:05,   3845374,  9.87364e-10,  2.84079e-10,  1.10590e-06,  2.59332e-09,  1.06029e-09,  6.35345e-10,
01:04:57,   3897696,  9.49900e-10,  2.88475e-10,  1.11127e-06,  2.53575e-09,  1.01182e-09,  6.10781e-10,
01:05:50,   3950018,  9.20542e-10,  2.69340e-10,  1.11127e-06,  2.46838e-09,  9.94158e-10,  5.67104e-10,
01:06:42,   4002339,  8.83605e-10,  2.70598e-10,  1.11396e-06,  2.41075e-09,  9.62908e-10,  5.41917e-10,
01:07:31,   4051390,  8.41218e-10,  2.56193e-10,  1.12202e-06,  2.33766e-09,  9.39097e-10,  5.32005e-10,
01:08:23,   4103712,  8.06453e-10,  2.54935e-10,  1.11799e-06,  2.27323e-09,  9.21370e-10,  5.06119e-10,
01:09:16,   4156034,  7.83673e-10,  2.58386e-10,  1.13412e-06,  2.18869e-09,  9.10448e-10,  4.66302e-10,
01:10:08,   4208356,  7.45307e-10,  2.55752e-10,  1.13883e-06,  2.12263e-09,  8.68222e-10,  4.41265e-10,
01:11:00,   4260678,  7.02092e-10,  2.41251e-10,  1.13883e-06,  2.08405e-09,  8.66007e-10,  4.30579e-10,
01:11:49,   4309748,  6.77883e-10,  2.39240e-10,  1.14756e-06,  2.00927e-09,  8.45937e-10,  3.80635e-10,
01:12:42,   4362070,  6.45816e-10,  2.24663e-10,  1.14420e-06,  1.95044e-09,  8.24534e-10,  3.74970e-10,
01:13:34,   4414392,  6.07309e-10,  2.38219e-10,  1.15091e-06,  1.86923e-09,  7.99401e-10,  3.43171e-10,
01:14:26,   4466714,  5.82917e-10,  2.47658e-10,  1.14890e-06,  1.81016e-09,  7.87629e-10,  3.16963e-10,
01:15:19,   4519036,  5.57709e-10,  2.53215e-10,  1.14487e-06,  1.75127e-09,  7.75493e-10,  2.92485e-10,
01:16:11,   4571358,  5.27426e-10,  2.39789e-10,  1.14823e-06,  1.68320e-09,  7.42909e-10,  2.66954e-10,
01:17:03,   4623679,  5.09817e-10,  2.20879e-10,  1.15897e-06,  1.64631e-09,  7.44715e-10,  2.66760e-10,
01:17:56,   4676001,  4.82169e-10,  2.41315e-10,  1.15360e-06,  1.59218e-09,  7.34987e-10,  2.29501e-10,
01:18:48,   4728323,  4.62453e-10,  2.27093e-10,  1.14823e-06,  1.52908e-09,  7.18496e-10,  2.23750e-10,
01:19:40,   4780644,  4.54423e-10,  2.23653e-10,  1.15361e-06,  1.48380e-09,  7.07778e-10,  2.21868e-10,
01:20:32,   4832966,  4.33751e-10,  2.12290e-10,  1.14621e-06,  1.44723e-09,  7.02629e-10,  1.96423e-10,
01:21:25,   4885288,  3.98222e-10,  2.33650e-10,  1.15092e-06,  1.40140e-09,  6.70745e-10,  1.88404e-10,
01:22:17,   4937609,  3.86762e-10,  2.23191e-10,  1.15226e-06,  1.34571e-09,  6.78753e-10,  1.70978e-10,
01:23:09,   4989931,  3.86762e-10,  2.14623e-10,  1.14958e-06,  1.30153e-09,  6.61650e-10,  1.46296e-10,
01:24:02,   5042253,  3.66552e-10,  2.20729e-10,  1.14689e-06,  1.26069e-09,  6.56856e-10,  1.26301e-10,
01:24:54,   5094574,  3.56985e-10,  2.02647e-10,  1.14958e-06,  1.23293e-09,  6.45364e-10,  1.26570e-10,
01:25:46,   5146896,  3.44923e-10,  2.01486e-10,  1.14958e-06,  1.20075e-09,  6.29766e-10,  1.11606e-10,
01:26:39,   5199218,  3.19715e-10,  2.18665e-10,  1.15293e-06,  1.17429e-09,  6.38914e-10,  1.21861e-10,
01:27:31,   5251539,  3.19661e-10,  2.11237e-10,  1.14286e-06,  1.14864e-09,  6.32711e-10,  9.56426e-11,
01:28:23,   5303861,  3.14028e-10,  2.25158e-10,  1.14285e-06,  1.12689e-09,  6.14780e-10,  9.96738e-11,
01:29:12,   5352933,  3.05525e-10,  2.24137e-10,  1.14218e-06,  1.07679e-09,  6.04439e-10,  8.42261e-11,
01:30:05,   5405255,  2.90830e-10,  2.15279e-10,  1.14420e-06,  1.05975e-09,  6.07578e-10,  8.88056e-11,
01:30:57,   5457577,  2.94366e-10,  2.04077e-10,  1.13546e-06,  1.03993e-09,  5.90421e-10,  7.56046e-11,
01:31:49,   5509899,  2.74296e-10,  2.01744e-10,  1.13815e-06,  1.02781e-09,  5.94828e-10,  7.52283e-11,
01:32:42,   5562221,  2.77102e-10,  2.15945e-10,  1.13344e-06,  9.90944e-10,  5.88776e-10,  6.26186e-11,
01:33:34,   5614522,  2.74812e-10,  2.24147e-10,  1.14084e-06,  9.80280e-10,  5.70480e-10,  5.75231e-11,
01:34:26,   5666844,  2.71533e-10,  2.07388e-10,  1.13075e-06,  9.43869e-10,  5.80692e-10,  6.85956e-11,
01:35:19,   5719166,  2.62955e-10,  2.07410e-10,  1.13009e-06,  9.31324e-10,  5.71845e-10,  5.45884e-11,
01:36:08,   5768238,  2.42551e-10,  2.23051e-10,  1.13344e-06,  9.32571e-10,  5.72931e-10,  4.79019e-11,
01:36:57,   5817309,  2.47292e-10,  2.26265e-10,  1.13681e-06,  9.24229e-10,  5.73156e-10,  3.85816e-11,
01:37:49,   5869631,  2.41315e-10,  2.11172e-10,  1.13412e-06,  9.13329e-10,  5.66782e-10,  3.83129e-11,
